coral,tank,treat,pco2,temp,T0_T90,reef,species,fpco2,ftemp,colony,SA,den,pro,chla,sum_bw5,red_bw1,green_bw1,blue_bw1,sum_bw1,red_bw2,green_bw2,blue_bw2,sum_bw2,red_bw3,green_bw3,blue_bw3,sum_bw3,red_bw4,green_bw4,blue_bw4,sum_bw4,red_bw5,green_bw5,blue_bw5,rate,carb,lipid
CFPC11,280_28_2,288_28,288,28,T90,F,P,280,28,PC_F,12.342,1633923.025,0.832,256.0256,208.35,131.4,98.9,30.6,260.9,147.65,109.3,39.85,296.8,95.95,66.4,30.45,192.8,84.5,59.45,37.95,181.9,99.75,72.1,36.5,1.196,0.950529196,0.232894216
CFPC12,700_31_2,701_31,701,31,T90,F,P,700,31,PC_F,11.884,3141.566856,0.259,22.62144,514.1,137.2,104.95,36,278.15,141.25,110.5,46.15,297.9,222.65,192.9,113.35,528.9,212.2,183.3,101.25,496.75,216,189.55,108.55,-0.778,0.273639909,0.019353738
CFPC2,280_28_2,288_28,288,28,T90,F,P,280,28,PC_F,10.872,1259067.358,0.724,173.6064,255.55,136.4,109.5,44.7,290.6,131.35,100.15,43.75,275.25,105.25,81.15,44.6,231,76.15,56,39.25,171.4,118.05,87.55,49.95,1.071,0.721553374,0.142358185
CFPC6,700_28_2,673_28,673,28,T90,F,P,700,28,PC_F,11.821,77712.60997,0.247,22.97216,336.95,145.25,109.3,33.65,288.2,105.35,77.9,26.15,209.4,129.95,100.4,46.65,277,84.1,59.5,35.3,178.9,161.95,125.4,49.6,1.066,0.210635152,0.06152616
CFPC8,2800_28_2,3285_28,3285,28,T90,F,P,2800,28,PC_F,10.075,483557.2024,0.389,88.03072,207.2,157.35,121.1,24.25,302.7,185.3,152.05,65.7,403.05,185.25,151.3,61.8,398.35,123.6,91.8,32,247.4,104.15,76.45,26.6,-0.725,0.549909199,0.137596669
CFPD1,280_31_2,311_31,311,31,T90,F,P,280,31,PD_F,12.425,0,0.537,29.46048,438.5,84.15,56,15.4,155.55,124.25,90.2,30.5,244.95,176.15,135.65,60.1,371.9,195.8,163.55,88.2,447.55,188.65,162.45,87.4,-0.159,0.277480912,0.069706844
CFPD11,2800_28_2,3285_28,3285,28,T90,F,P,2800,28,PD_F,7.24,1678176.796,0.587,56.1152,273.8,95.75,65.3,17.1,178.15,77.1,51.25,17,145.35,101.8,70.7,28.8,201.3,113.8,83.25,29.1,226.15,135.4,105.35,33.05,-0.514,0.97907,0.397779198
CFPD2,280_28_2,288_28,288,28,T90,F,P,280,28,PD_F,11.427,4637499.271,0.465,250.7648,142.15,89.1,58.05,6.7,153.85,101.5,71.7,25.95,199.15,118.25,82.5,26.7,227.45,81.6,54.4,18.6,154.6,72.05,48.95,21.15,1.208,0.839582617,0.221084052
CFPD5,700_31_2,701_31,701,31,T90,F,P,700,31,PD_F,8.533,6563.012735,0.21,6.523392,463.85,103.45,67.3,15.65,186.4,124.05,89.8,30.2,244.05,165,127.85,55.55,348.4,241.35,222.45,150.65,614.45,197.3,169.55,97,-1.127,0.278737256,0.010662833
CFPD6,400_28_2,447_28,447,28,T90,F,P,400,28,PD_F,8.239,2419127.761,0.376,135.904,177.2,NA,NA,NA,NA,109.9,74.75,32.55,217.2,100.3,66.2,22.25,188.75,80.25,51.35,16.45,148.05,94.05,63.15,20,1.068,0.796778617,0.030270381
CFPD7,2800_31_2,3309_31,3309,31,T90,F,P,2800,31,PD_F,11.931,672776.0393,0.206,12.029696,483.6,115.85,82.1,25.4,223.35,137.35,105.4,39.7,282.45,171.45,137.7,64.95,374.1,206.4,178.7,98.8,483.9,198.45,174.9,110.25,-0.888,0.270079639,0.096010272
